experience_years,price,duration_hours,interest,education_level,formation_category,has_java,has_spring,has_sql,has_python,has_management,label
13,180,16,LANGUAGES,MASTER,BUSINESS,1,0,0,0,1,0
15,470,20,OTHER,INGENIEUR,INFORMATIQUE,0,1,1,0,1,0
8,245,26,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,0,1
9,216,13,DATA,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,1
10,129,46,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,0,0,0,0,0
7,830,46,LANGUAGES,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
3,312,31,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,1,1
9,472,19,MANAGEMENT,LICENCE,BUSINESS,1,1,0,0,1,1
8,364,31,LANGUAGES,MASTER,LANGUES,0,0,0,1,1,1
4,253,15,DATA,MASTER,DATA_SCIENCE,1,1,1,1,0,1
5,275,19,MANAGEMENT,LICENCE,BUSINESS,1,0,1,1,1,1
6,655,40,LANGUAGES,LICENCE,INFORMATIQUE,0,1,0,0,0,0
8,288,31,LANGUAGES,LICENCE,LANGUES,1,0,0,0,1,1
9,393,24,LANGUAGES,MASTER,LANGUES,1,1,1,0,1,1
8,484,24,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,1,1
15,133,13,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
6,318,20,LANGUAGES,LICENCE,LANGUES,0,1,0,1,1,1
9,519,13,BACKEND,MASTER,DATA_SCIENCE,0,1,1,1,0,0
11,439,16,LANGUAGES,MASTER,LANGUES,1,1,0,1,1,1
12,897,15,MANAGEMENT,LICENCE,DATA_SCIENCE,0,0,0,1,0,0
10,179,20,LANGUAGES,INGENIEUR,INFORMATIQUE,0,0,0,0,0,0
7,134,35,OTHER,LICENCE,DATA_SCIENCE,0,0,1,0,1,0
2,358,19,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,0,1
7,481,14,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,1,1
3,280,22,MANAGEMENT,MASTER,BUSINESS,0,0,0,0,1,1
9,207,26,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,1,1,1
11,409,39,LANGUAGES,INGENIEUR,LANGUES,1,0,0,0,0,1
9,351,22,BACKEND,MASTER,INFORMATIQUE,1,1,0,0,0,1
11,206,31,MANAGEMENT,MASTER,BUSINESS,0,0,1,0,1,1
9,845,36,DATA,MASTER,LANGUES,1,1,0,0,1,0
10,388,13,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,1,1
3,458,28,LANGUAGES,INGENIEUR,LANGUES,1,0,1,1,1,1
3,308,18,DATA,LICENCE,DATA_SCIENCE,0,0,1,1,0,1
14,637,32,MANAGEMENT,MASTER,BUSINESS,1,0,1,0,1,1
6,223,14,DATA,INGENIEUR,DATA_SCIENCE,1,1,1,1,0,1
3,232,20,LANGUAGES,INGENIEUR,LANGUES,1,0,1,0,0,1
13,491,14,OTHER,INGENIEUR,BUSINESS,1,0,1,1,1,0
3,275,16,DATA,MASTER,DATA_SCIENCE,1,0,1,1,0,1
9,292,16,MANAGEMENT,LICENCE,BUSINESS,1,0,1,0,1,1
5,350,25,LANGUAGES,MASTER,LANGUES,0,1,1,0,0,1
11,286,12,BACKEND,MASTER,INFORMATIQUE,1,1,0,1,0,1
11,480,12,LANGUAGES,MASTER,LANGUES,1,1,0,1,0,0
4,294,16,MANAGEMENT,INGENIEUR,BUSINESS,1,1,0,1,1,0
3,191,25,BACKEND,LICENCE,INFORMATIQUE,1,1,0,1,0,1
3,356,24,DATA,LICENCE,DATA_SCIENCE,0,1,1,1,0,1
9,460,20,LANGUAGES,LICENCE,LANGUES,0,1,0,1,1,1
0,603,23,DATA,INGENIEUR,INFORMATIQUE,0,1,1,0,1,0
9,424,19,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
6,527,37,BACKEND,LICENCE,LANGUES,0,1,1,1,0,0
12,332,45,LANGUAGES,INGENIEUR,DATA_SCIENCE,0,0,1,1,0,0
4,397,27,MANAGEMENT,MASTER,BUSINESS,1,1,1,0,1,1
7,321,13,LANGUAGES,MASTER,DATA_SCIENCE,1,0,1,0,1,0
8,853,38,MANAGEMENT,INGENIEUR,BUSINESS,0,1,1,0,0,0
0,281,35,BACKEND,INGENIEUR,INFORMATIQUE,1,0,0,1,0,1
5,455,22,LANGUAGES,LICENCE,LANGUES,1,1,1,1,1,1
4,294,21,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,0,1
10,476,16,DATA,LICENCE,DATA_SCIENCE,1,0,1,1,1,1
13,178,21,BACKEND,MASTER,DATA_SCIENCE,0,0,1,0,1,0
4,236,30,LANGUAGES,MASTER,LANGUES,1,1,0,0,1,1
5,499,31,BACKEND,MASTER,INFORMATIQUE,1,0,0,1,0,1
13,450,33,BACKEND,LICENCE,INFORMATIQUE,1,1,1,1,0,1
10,765,14,BACKEND,INGENIEUR,LANGUES,1,1,1,0,0,0
6,224,25,LANGUAGES,MASTER,LANGUES,0,0,1,0,0,1
12,477,9,MANAGEMENT,MASTER,DATA_SCIENCE,0,0,0,0,0,0
5,468,15,OTHER,INGENIEUR,DATA_SCIENCE,1,0,1,0,0,1
8,784,24,LANGUAGES,MASTER,INFORMATIQUE,1,0,1,0,1,0
6,794,46,BACKEND,MASTER,BUSINESS,0,1,1,0,0,0
5,432,30,LANGUAGES,LICENCE,LANGUES,0,0,0,1,0,1
11,476,31,BACKEND,MASTER,INFORMATIQUE,1,1,1,1,0,1
0,693,41,DATA,INGENIEUR,INFORMATIQUE,1,0,1,0,0,0
14,286,44,BACKEND,LICENCE,INFORMATIQUE,1,0,0,1,1,1
5,702,21,LANGUAGES,MASTER,BUSINESS,1,1,0,1,0,1
9,801,45,LANGUAGES,INGENIEUR,BUSINESS,1,1,0,0,0,0
2,263,23,LANGUAGES,INGENIEUR,LANGUES,0,0,1,1,1,1
11,725,44,DATA,INGENIEUR,BUSINESS,0,1,0,1,0,0
7,518,16,BACKEND,MASTER,INFORMATIQUE,1,1,1,0,0,1
6,341,14,BACKEND,LICENCE,INFORMATIQUE,1,1,1,0,1,1
3,393,38,OTHER,LICENCE,DATA_SCIENCE,1,0,0,0,0,0
3,238,14,LANGUAGES,MASTER,LANGUES,0,0,1,1,0,1
14,369,37,OTHER,LICENCE,INFORMATIQUE,1,0,1,1,1,0
7,441,29,OTHER,INGENIEUR,LANGUES,0,1,0,1,1,0
11,489,26,LANGUAGES,LICENCE,LANGUES,1,0,1,0,0,1
11,384,19,BACKEND,INGENIEUR,INFORMATIQUE,1,1,0,1,0,1
2,331,28,LANGUAGES,LICENCE,LANGUES,1,0,0,1,1,1
10,515,20,DATA,MASTER,DATA_SCIENCE,0,0,1,1,0,1
0,462,44,MANAGEMENT,LICENCE,LANGUES,0,1,0,0,1,0
6,829,15,MANAGEMENT,INGENIEUR,DATA_SCIENCE,1,1,0,1,1,0
7,363,28,LANGUAGES,LICENCE,LANGUES,1,0,0,0,1,1
11,662,34,OTHER,INGENIEUR,INFORMATIQUE,0,1,1,0,1,0
13,853,37,DATA,INGENIEUR,INFORMATIQUE,1,0,0,0,1,0
7,332,18,BACKEND,LICENCE,DATA_SCIENCE,1,1,0,0,0,0
10,322,16,BACKEND,MASTER,INFORMATIQUE,1,1,1,1,0,1
8,332,20,MANAGEMENT,LICENCE,BUSINESS,0,0,0,0,1,1
